Number,Player Name,Nation,Position,Age,Club
1,Essam El Hadary,Egypt,GK,45,Al Taawoun
2,Ali Gabr,Egypt,DF,29,West Bromwich Albion
3,Ahmed Elmohamady,Egypt,DF,30,Aston Villa
4,Omar Gaber,Egypt,MF,26,Los Angeles FC
5,Sam Morsy,Egypt,MF,26,Wigan Athletic
6,Ahmed Hegazi,Egypt,DF,27,West Bromwich Albion
7,Ahmed Fathy,Egypt,DF,33,Al Ahly
8,Tarek Hamed,Egypt,MF,29,Zamalek
9,Marwan Mohsen,Egypt,FW,29,Al Ahly
10,Mohamed Salah,Egypt,FW,25,Liverpool
11,Kahraba,Egypt,FW,24,Al-Ittihad
12,Ayman Ashraf,Egypt,DF,27,Al Ahly
13,Mohamed Abdel Shafy,Egypt,DF,32,Al Fateh
14,Ramadan Sobhi,Egypt,FW,21,Stoke City
15,Mahmoud Hamdy,Egypt,DF,23,Zamalek
16,Sherif Ekramy,Egypt,GK,34,Al Ahly
17,Mohamed Elneny,Egypt,MF,25,Arsenal
18,Shikabala,Egypt,FW,32,Al Raed
19,Abdallah El Said,Egypt,MF,32,KuPS
20,Saad Samir,Egypt,DF,29,Al Ahly
21,Trézéguet,Egypt,MF,23,Kasımpaşa
22,Amr Warda,Egypt,FW,24,Atromitos
23,Mohamed El Shenawy,Egypt,GK,29,Al Ahly
24,Igor Akinfeev,Russia,GK,32,CSKA Moscow
25,Mário Fernandes,Russia,DF,27,CSKA Moscow
26,Ilya Kutepov,Russia,DF,24,Spartak Moscow
27,Sergei Ignashevich,Russia,DF,38,CSKA Moscow
28,Andrei Semyonov,Russia,DF,29,Akhmat Grozny
29,Denis Cheryshev,Russia,MF,27,Villarreal
30,Daler Kuzyayev,Russia,MF,25,Zenit Saint Petersburg
31,Yury Gazinsky,Russia,MF,28,Krasnodar
32,Alan Dzagoev,Russia,MF,27,CSKA Moscow
33,Fyodor Smolov,Russia,FW,28,Krasnodar
34,Roman Zobnin,Russia,MF,24,Spartak Moscow
35,Andrey Lunyov,Russia,GK,26,Zenit Saint Petersburg
36,Fyodor Kudryashov,Russia,DF,31,Rubin Kazan
37,Vladimir Granat,Russia,DF,31,Rubin Kazan
38,Aleksei Miranchuk,Russia,MF,22,Lokomotiv Moscow
39,Anton Miranchuk,Russia,MF,22,Lokomotiv Moscow
40,Aleksandr Golovin,Russia,MF,22,CSKA Moscow
41,Yuri Zhirkov,Russia,MF,34,Zenit Saint Petersburg
42,Aleksandr Samedov,Russia,MF,33,Spartak Moscow
43,Vladimir Gabulov,Russia,GK,34,Club Brugge
44,Aleksandr Yerokhin,Russia,MF,28,Zenit Saint Petersburg
45,Artem Dzyuba,Russia,FW,29,Arsenal Tula
46,Igor Smolnikov,Russia,DF,29,Zenit Saint Petersburg
47,Abdullah Al-Mayouf,Arabia,GK,31,Al Hilal
48,Mansoor Al-Harbi,Arabia,DF,30,Al Ahli
49,Osama Hawsawi,Arabia,DF,34,Al Hilal
50,Ali Al-Bulaihi,Arabia,DF,28,Al Hilal
51,Omar Hawsawi,Arabia,DF,32,Al Nassr
52,Mohammed Al-Breik,Arabia,DF,25,Al Hilal
53,Salman Al-Faraj,Arabia,MF,28,Al Hilal
54,Yahya Al-Shehri,Arabia,MF,27,Leganés
55,Hattan Bahebri,Arabia,MF,25,Al Shabab
56,Mohammad Al-Sahlawi,Arabia,FW,31,Al Nassr
57,Abdulmalek Al-Khaibri,Arabia,MF,32,Al Hilal
58,Mohamed Kanno,Arabia,MF,23,Al Hilal
59,Yasser Al-Shahrani,Arabia,DF,26,Al Hilal
60,Abdullah Otayf,Arabia,MF,25,Al Hilal
61,Abdullah Al-Khaibari,Arabia,MF,21,Al Shabab
62,Housain Al-Mogahwi,Arabia,MF,30,Al Ahli
63,Taisir Al-Jassim,Arabia,MF,33,Al Ahli
64,Salem Al-Dawsari,Arabia,MF,26,Villarreal
65,Fahad Al-Muwallad,Arabia,FW,23,Levante
66,Muhannad Assiri,Arabia,FW,31,Al Ahli
67,Yasser Al-Mosailem,Arabia,GK,34,Al Ahli
68,Mohammed Al-Owais,Arabia,GK,26,Al Ahli
69,Motaz Hawsawi,Arabia,DF,26,Al Ahli
70,Fernando Muslera,Uruguay,GK,31,Galatasaray
71,José Giménez,Uruguay,DF,23,Atlético Madrid
72,Diego Godín,Uruguay,DF,32,Atlético Madrid
73,Guillermo Varela,Uruguay,DF,25,Peñarol
74,Carlos Sánchez,Uruguay,MF,33,Monterrey
75,Rodrigo Bentancur,Uruguay,MF,20,Juventus
76,Cristian Rodríguez,Uruguay,MF,32,Peñarol
77,Nahitan Nández,Uruguay,MF,22,Boca Juniors
78,Luis Suárez,Uruguay,FW,31,Barcelona
79,Giorgian De Arrascaeta,Uruguay,FW,24,Cruzeiro
80,Cristhian Stuani,Uruguay,FW,31,Girona
81,Martín Campaña,Uruguay,GK,29,Independiente
82,Gastón Silva,Uruguay,DF,24,Independiente
83,Lucas Torreira,Uruguay,MF,22,Sampdoria
84,Matías Vecino,Uruguay,MF,26,Inter Milan
85,Maxi Pereira,Uruguay,DF,34,Porto
86,Diego Laxalt,Uruguay,MF,25,Genoa
87,Maxi Gómez,Uruguay,FW,21,Celta Vigo
88,Sebastián Coates,Uruguay,DF,27,Sporting CP
89,Jonathan Urretaviscaya,Uruguay,FW,28,Monterrey
90,Edinson Cavani,Uruguay,FW,31,Paris Saint-Germain
91,Martín Cáceres,Uruguay,DF,31,Lazio
92,Martín Silva,Uruguay,GK,35,Vasco da Gama
